,,,,,,
========== НЕДЕЛЯ 7 (09.02–15.02.2026) ==========,,,,,,
Период: Втягивание | Тип: Повторное втягивание после болезни,,,,,,
Цели: Мягкий возврат к тренировкам после болезни. Только лёгкие тренировки! Слушать организм.,,,,,,
Состав: 2 беговые (лёгкий Z1–Z2) + 1 кроссфит (очень облегчённый) + 1 лёгкая силовая,,,,,,
Объём бега: ~12–15 км | Интенсивность: Z1–Z2 (минимальная),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 09.02,🛋️ Отдых,Восстановление,—,Полный отдых. Завершение выздоровления,—,Восстановление после болезни
вт 10.02,🛋️ Отдых,Восстановление,—,Полный отдых. Не торопимся!,—,Восстановление
ср 11.02,🏃 Лёгкий бег,Первый бег после болезни,30–40,Лёгкий бег 25–30 мин Z1 (3–4 км). Очень комфортно! Если тяжело — ходьба,Z1 (125–140),Мягкое возвращение
чт 12.02,🛋️ Отдых,Восстановление,—,Оценка самочувствия. Растяжка по желанию,—,Восстановление
пт 13.02,🏃 Бег + 💪 Силовая,Z1–Z2 + лёгкая сила,45–55,Бег 25–30 мин Z1–Z2 (4–5 км) → Лёгкая силовая 15 мин (минимальные веса),Z1–Z2 (125–145),Адаптация + тонус мышц
сб 14.02,🏋️ Кроссфит,Очень лёгкий,30–40,Облегчённый комплекс: акцент на мобильность и технику. Без высокой интенсивности!,Z1–Z2 (125–145),Функциональность (мягко)
вс 15.02,🏃 Умеренный бег,Z2-база,40–50,Бег 35–40 мин Z1–Z2 (5–6 км). Не быстрее 7:00/км. Оценить готовность к наращиванию,Z1–Z2 (130–150),Аэробная адаптация
,,,,,,
,,,,,,
========== НЕДЕЛЯ 8 (16.02–22.02.2026) ==========,,,,,,
Период: Втягивание → Адаптация | Тип: Увеличение объёмов,,,,,,
Цели: Рост объёма до 22–25 км. Возвращение бега в гору. Добавляем силовую с весами. Самочувствие хорошее!,,,,,,
Состав: 3 беговые (Z2 + горы + длительная 10–12 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~22–25 км | Интенсивность: Z1–Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 16.02,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
вт 17.02,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,65–75,Бег 40 мин Z2 (6–7 км) → Силовая ноги 25 мин (возврат к весам),Z2 (140–155),Аэробная база + укрепление ног
ср 18.02,🏋️ Кроссфит,Функциональная выносливость,45–55,Разминка → AMRAP 15 мин → Гребля/лыжный 8 мин → Кор,Z2–Z3 (140–165),Метаболическая выносливость
чт 19.02,🛋️ Отдых,Восстановление,—,Полный отдых. Растяжка по желанию,—,Восстановление
пт 20.02,🏔️ Бег в гору + 🧘 Кор,Специфика подъёма,55–65,Бег с уклоном 35 мин (5–6 км) → Кор 15 мин. Уклон 5–8%,Z2–Z3 (140–165),Возвращение к горному бегу
сб 21.02,💪 Силовая + 🏋️ Кроссфит,Сила + кондиция,50–60,Силовая верх 25 мин → Chipper: bike + wall balls + скакалка + трастеры + лестница + slam ball + лыжный + турецкий подъём,Z2–Z3 (140–165),Общая сила + разнообразный кроссфит
вс 22.02,🏃 Длительный бег,Z2-база,65–80,Длительный бег 10–12 км в ровном темпе Z2. Темп 6:30–7:00/км,Z2 (140–155),Аэробная выносливость (прогрессия)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 9 (23.02–01.03.2026) ==========,,,,,,
Период: Адаптация → Выход на базу | Тип: Переходная неделя к базовому периоду,,,,,,
Цели: Выход на 28–30 км. Бесконечная лестница! Контроль перетренированности (показатель 2.2). Разнообразный кроссфит.,,,,,,
Состав: 3 беговые (Z2 + горы с лестницей + длительная 13–15 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~28–30 км | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 23.02,🛋️ Отдых,Восстановление,—,Полный отдых после длительного,—,Восстановление
вт 24.02,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,85–95,Бег 55–65 мин Z2 (7–8 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + укрепление ног
ср 25.02,🏋️ Кроссфит,Силовая выносливость,50–60,Табата-блок → Assault bike интервалы → Сэндбэг/медбол комплекс → Кор,Z2–Z3 (140–170),Разнообразная функциональная работа
чт 26.02,🛋️ Отдых,Восстановление,—,Полный отдых. Растяжка по желанию,—,Восстановление
пт 27.02,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,60–70,Бег с уклоном 25 мин → Бесконечная лестница 15 мин → Кор 15 мин,Z2–Z3 (140–165),Сила на подъёме + лестница!
сб 28.02,💪 Силовая + 🏋️ Кроссфит,Сила + кондиция,55–65,Силовая верх 25 мин → «For Time» со штангой + гребля + скакалка,Z2–Z3 (140–165),Сила + взрывная выносливость
вс 01.03,🏃 Длительный бег,Z2-база,105–125,Длительный бег 13–15 км в ровном темпе Z2. Темп 6:10–7:00/км (замедление к концу),Z2 (140–155),Аэробная выносливость (выход на базовый объём)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 10 (02.03–08.03.2026) ==========,,,,,,
Период: Базовый (начало) | Тип: Первая неделя базового периода,,,,,,
Цели: Выход на 30–33 км. Начало базового периода! Горный блок 25 мин. Stairmaster 20 мин. Контроль пульса на длительном (≤155!).,,,,,,
Состав: 3 беговые (Z2 9 км + горы с лестницей + длительная 16–18 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~30–33 км | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 02.03,🛋️ Отдых,Восстановление,—,Полный отдых после длительного. Растяжка / пенный ролик,—,Восстановление
вт 03.03,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,95–100,Бег 70–75 мин Z2 (9 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + укрепление ног
ср 04.03,🏋️ Кроссфит,Функциональная выносливость,50–55,EMOM 24 мин (Assault bike + гири + берпи на тумбу + гребля) → Кор 8 мин,Z2–Z3 (140–170),Кондиция + разнообразие
чт 05.03,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 06.03,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,70–75,Бег в гору 25 мин → Стеймастер 20 мин → Кор 15 мин,Z2–Z3 (140–165),Сила подъёма + прогрессия лестницы
сб 07.03,💪 Силовая верх + 🏋️ Кроссфит,Сила + кондиция,60–70,Силовая верх 25 мин → Chipper For Time (гребля + hang clean + скакалка + devil press + SkiErg + тумба),Z2–Z3 (140–165),Общая сила + выносливость
вс 08.03,🏃 Длительный бег,Z2-база,125–150,Длительный бег 16–18 км. Темп 6:30–7:30/км (старт медленно!). ЧСС строго ≤ 155!,Z2 (140–155),Аэробная выносливость (прогрессия)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 11 (09.03–15.03.2026) ==========,,,,,,
Период: Базовый (неделя 2) | Тип: Наращивание аэробной базы,,,,,,
Цели: Выход на 34–36 км. Горный блок 30 мин (до 10% уклона). Stairmaster 20 мин. Длительный 19–21 км (~2 ч). Восстановить 2 кроссфита.,,,,,,
Состав: 3 беговые (Z2 10 км + горы с лестницей + длительная 19–21 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~34–36 км | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 09.03,🛋️ Отдых,Восстановление,—,Полный отдых после длительного 18 км. Растяжка / пенный ролик,—,Восстановление
вт 10.03,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,100–110,Бег 75–85 мин Z2 (10 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + укрепление ног
ср 11.03,🏋️ Кроссфит,Функциональная выносливость,55–60,AMRAP 20 мин (Assault bike + DB snatch + box jumps + гребля) → Кор 8 мин,Z2–Z3 (140–170),Кондиция + разнообразие
чт 12.03,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 13.03,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,75–80,Бег в гору 30 мин (~4 км) → Стеймастер 20 мин → Кор 15 мин,Z2–Z3 (140–165),Сила подъёма (прогрессия до 10%)
сб 14.03,💪 Силовая верх + 🏋️ Кроссфит,Сила + кондиция,60–70,Силовая верх 25 мин → «For Time» (wall ball + burpee + SkiErg + KB snatch + гребля),Z2–Z3 (140–165),Общая сила + выносливость
вс 15.03,🏃 Длительный бег,Z2-база,140–160,Длительный бег 19–21 км (~2 ч). Темп 6:00–7:00/км. ЧСС ≤ 155!,Z2 (140–155),Аэробная выносливость (выход на 2 часа)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 12 (16.03–22.03.2026) ==========,,,,,,
Период: Базовый (неделя 3) | Тип: Наращивание объёмов,,,,,,
Цели: Выход на 40–42 км. Длительный 22–23 км (на улице!). Горный блок 30 мин. Stairmaster 25 мин. Вернуть кроссфит в среду!,,,,,,
Состав: 3 беговые (Z2 12 км + горы с лестницей + длительная 22–23 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~40–42 км | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 16.03,🛋️ Отдых,Восстановление,—,Полный отдых после 21 км на улице. Пенный ролик / растяжка,—,Восстановление
вт 17.03,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,105–115,Бег 80–90 мин Z2 (12 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + укрепление ног
ср 18.03,🏋️ Кроссфит,Функциональная выносливость,50–55,E3MOM 24 мин (Assault bike + devil press + box jumps) → Chipper-финишер 8 мин,Z2–Z3 (140–170),Кондиция (вернуть кроссфит!)
чт 19.03,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 20.03,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,80–85,Бег в гору 30 мин (~5 км) → Стеймастер 25 мин → Кор 15 мин,Z2–Z3 (140–165),Сила подъёма + прогрессия лестницы до 25 мин
сб 21.03,💪 Силовая верх + 🏋️ Кроссфит,Сила + кондиция,55–65,Силовая верх 25 мин → 3 раунда For Time (DB snatch + wall ball + гребля + toes-to-bar),Z2–Z3 (140–165),Общая сила + выносливость
вс 22.03,🏃 Длительный бег (на улице!),Z2-база,155–170,Длительный бег 22–23 км на улице. Темп 6:00–6:40/км. ЧСС ≤ 155!,Z2 (140–155),Аэробная выносливость (прогрессия outdoor)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 13 (23.03–29.03.2026) ==========,,,,,,
Период: Базовый (неделя 4) | Тип: 🔻 РАЗГРУЗКА,,,,,,
Цели: Суперкомпенсация после 3 нагрузочных недель. Снижение объёма −30%. Сохранение качества коротких работ. Подготовка к развивающему периоду.,,,,,,
Состав: 2 беговые (лёгкий Z1–Z2 9 км + укороченный длительный 15–16 км) + горный блок 20 мин + 1 лёгкий кроссфит RPE 5,,,,,,
Объём бега: ~27–28 км | Набор: ~300 м | Интенсивность: Z1–Z2 (основная),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 23.03,🛋️ Отдых,Восстановление,—,Полный отдых после 23.7 км на улице. Пенный ролик / растяжка,—,Восстановление
вт 24.03,🏃 Лёгкий бег Z1–Z2 + 💪 Силовая ноги (лайт),Аэробная поддержка,75–80,Бег 55–60 мин Z1–Z2 (9 км темп 6:20–7:00) → Лёгкая силовая ноги 15 мин (−40% объёма),Z1–Z2 (133–155),Поддержание базы без нагрузки
ср 25.03,🏋️ Лёгкий кроссфит,RPE 5–6,30–35,E3MOM 18 мин (3 упр. лёгкий темп) → Лёгкий кор 10 мин. Без максимальных усилий!,Z1–Z2 (133–155),Тонус без истощения
чт 26.03,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 27.03,🏔️ Бег в гору (укороченный) + 🧘 Кор,Специфика (−30%),45–50,Бег в гору 20 мин (уклон 7–8%) → Кор 15 мин. Без стеймастера!,Z2–Z3 (140–165),Поддержание горной специфики
сб 28.03,🛋️ Отдых,Восстановление,—,Полный отдых. Можно прогулка / растяжка,—,Восстановление
вс 29.03,🏃 Укороченный длительный бег,Z2-база,105–115,Длительный бег 15–16 км (65% от обычного). Темп 6:20–7:00/км. ЧСС ≤ 150!,Z1–Z2 (133–155),Аэробная поддержка (разгрузка)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 14 (30.03–05.04.2026) ==========,,,,,,
Период: Развивающий — Блок 2a (неделя 1) | Тип: Начало интенсификации,,,,,,
Цели: Выход на 42–45 км. Длительный 24–25 км (outdoor!). Горный блок 35 мин (прогрессия!). Stairmaster 25 мин. Кроссфит 1×/нед (среда). Субботу — силовая верх + кор (без кроссфита).,,,,,,
Состав: 3 беговые (Z2 13 км + горы с лестницей + длительная 24–25 км) + 1 кроссфит + 2 силовые,,,,,,
Объём бега: ~42–45 км | D+: ~600 м | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 30.03,🛋️ Отдых,Восстановление,—,Полный отдых после разгрузочной недели. Готовность к развивающему периоду!,—,Восстановление
вт 31.03,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,110–120,Бег 85–95 мин Z2 (13 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + прогрессия объёма
ср 01.04,🏋️ Кроссфит,Функциональная выносливость,50–55,"AMRAP 20 мин (KB clean + box jumps + гребля + скалолаз) → Кор-комплекс ""Антивращение"" 10 мин",Z2–Z3 (140–170),Кондиция + новый кор!
чт 02.04,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 03.04,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,85–95,Бег в гору 35 мин (~5 км) → Стеймастер 25 мин → Кор «Сила хвата + бок» 15 мин,Z2–Z3 (140–165),Горная специфика (прогрессия до 35 мин!)
сб 04.04,💪 Силовая верх + 🧘 Кор,Сила + стабилизация,50–55,Силовая верх 25 мин → Кор «Динамический» 20 мин,Z1–Z2 (133–155),Сила верха + разнообразный кор
вс 05.04,🏃 Длительный бег (на улице!),Z2-база,170–185,Длительный бег 24–25 км на улице. Темп 6:20–6:50/км. ЧСС ≤ 155! Гель на 60 мин и 100 мин.,Z2 (140–155),Аэробная выносливость (новый рекорд дистанции!)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 15 (06.04–12.04.2026) ==========,,,,,,
Период: Развивающий — Блок 2a (неделя 2) | Тип: Наращивание объёма,,,,,,
"Цели: Выход на 47–50 км. Длительный 26–28 км (outdoor!). Горный блок 38 мин. Stairmaster 28 мин. Внимание: после 26.5 км длительного (TRIMP 294) — первые 2 дня умеренные!",,,,,,
Состав: 3 беговые (Z2 14 км + горы с лестницей + длительная 26–28 км) + 1 кроссфит (среда) + 1 силовая (суббота),,,,,,
Объём бега: ~47–50 км | D+: ~700 м | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 06.04,🛋️ Отдых,Восстановление,—,"Полный отдых. Напряжение 106 после 26.5 км — дать организму восстановиться!",—,Восстановление
вт 07.04,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,115–125,"Бег 90–100 мин Z2 (14 км) → Силовая ноги 25 мин. Первый км — очень легко, следить за ЧСС!",Z2 (140–155),Аэробная база + прогрессия
ср 08.04,🏋️ Кроссфит,Функциональная выносливость,55–60,"EMOM 25 мин (SkiErg + DB snatch + box step-up + wall ball) → Кор «Позвоночник» 12 мин",Z2–Z3 (140–170),Кондиция (1×/нед)
чт 09.04,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 10.04,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,90–100,"Бег в гору 38 мин (~6 км) → Стеймастер 28 мин → Кор «Глубокий» 15 мин",Z2–Z3 (140–165),Горная специфика (прогрессия +3 мин!)
сб 11.04,💪 Силовая верх + 🧘 Кор,Сила + стабилизация,55–60,Силовая верх 30 мин → Кор «Ротация» 20 мин,Z1–Z2 (133–155),Сила верха + новый кор
